WKT,
"POLYGON ((-465177.924699999 -1114247.0738,-459667.6633 -1115876.6038,-450944.7718 -1110946.9416,-446024.704399999 -1119652.8554,-456592.936700001 -1125625.395,-456698.744600002 -1125683.5174,-456877.115200002 -1125774.1771,-457058.970199998 -1125857.6276,-457244.018399999 -1125933.7354,-457431.963500001 -1126002.3786,-457622.504500002 -1126063.4471,-457815.336300001 -1126116.8433,-458010.149999999 -1126162.4816,-458206.633699998 -1126200.289,-458404.472800002 -1126230.2048,-458603.350299999 -1126252.1812,-458802.947900001 -1126266.1831,-459002.945900001 -1126272.1878,-459203.023899999 -1126270.186,-459402.861699998 -1126260.1807,-459602.139199998 -1126242.188,-459800.5372 -1126216.2366,-459997.7381 -1126182.3683,-460193.425900001 -1126140.6371,-460387.287500001 -1126091.1099,-460470.9001 -1126067.1722,-466673.1153 -1124233.0132,-467629.8453 -1124486.0843,-475444.199299999 -1126553.1119,-478001.416299999 -1116885.6075,-475033.601500001 -1116100.5707,-476768.879799999 -1109609.799,-467108.164999999 -1107027.0508,-465177.924699999 -1114247.0738))"
"POLYGON ((-728781.3103 -1106484.2591,-746702.2401 -1167292.9825,-756294.355900001 -1164466.0915,-738373.426100001 -1103657.3681,-728781.3103 -1106484.2591))"
"POLYGON ((-747656.184500001 -1063549.3279,-770938.038199998 -1088639.0954,-778268.272599999 -1081837.0616,-754986.418900002 -1056747.2941,-747656.184500001 -1063549.3279))"
"POLYGON ((-758357.2097 -1022893.1201,-747165.4254 -1037060.1147,-747079.344500002 -1037172.3051,-746963.035100002 -1037335.1159,-746853.332800001 -1037502.4498,-746750.4133 -1037674.039,-746654.441399999 -1037849.6084,-746565.570900001 -1038028.8771,-746483.943999998 -1038211.558,-746409.691399999 -1038397.3584,-746342.932100002 -1038585.9809,-746283.7729 -1038777.1233,-746232.308600001 -1038970.4797,-746188.6217 -1039165.7402,-746152.782000002 -1039362.5924,-746124.847100001 -1039560.7208,-746104.861499999 -1039759.8083,-746092.857299998 -1039959.536,-746088.853799999 -1040159.584,-746092.857299998 -1040359.632,-746104.861499999 -1040559.3597,-746124.847100001 -1040758.4472,-746152.782000002 -1040956.5756,-746188.6217 -1041153.4278,-746232.308600001 -1041348.6883,-746283.7729 -1041542.0447,-746342.932100002 -1041733.1871,-746409.691399999 -1041921.8096,-746483.943999998 -1042107.61,-746565.570900001 -1042290.2909,-746594.497200001 -1042350.6474,-747817.213100001 -1044858.7088,-742535.0876 -1050362.5743,-739711.7425 -1051705.9252,-735413.9408 -1046175.9816,-731643.657000002 -1049106.1982,-731527.872000001 -1049198.9728,-731376.1798 -1049329.4516,-731229.829500001 -1049465.8951,-731089.055399999 -1049608.0848,-730954.082899999 -1049755.7929,-730825.1283 -1049908.7829,-730819.275600001 -1049916.0292,-727859.6976 -1053587.2619,-706642.527600002 -1079906.274,-703130.796700001 -1081116.8627,-702951.373500001 -1081182.5767,-702766.325300001 -1081258.6845,-702584.4703 -1081342.135,-702406.0997 -1081432.7947,-702231.499200001 -1081530.5183,-702060.9483 -1081635.1494,-701894.7203 -1081746.5203,-701733.081300002 -1081864.4528,-701576.290199999 -1081988.758,-701424.598000001 -1082119.2368,-701278.247699998 -1082255.6803,-701137.4736 -1082397.87,-701002.5011 -1082545.5781,-700873.546500001 -1082698.5681,-700750.816199999 -1082856.5951,-700634.5068 -1083019.4059,-700524.804499999 -1083186.7398,-700421.885000002 -1083358.329,-700325.9131 -1083533.8984,-700237.042599998 -1083713.1671,-700155.4157 -1083895.848,-700083.158399999 -1084076.3594,-694683.066399999 -1098365.9911,-690297.2355 -1100053.0684,-690283.382100001 -1100058.421,-690098.333900001 -1100134.5288,-689916.4789 -1100217.9793,-689738.1083 -1100308.639,-689563.507800002 -1100406.3626,-689392.956900001 -1100510.9937,-689226.7289 -1100622.3646,-689065.089899998 -1100740.2971,-688908.298799999 -1100864.6023,-688756.606600001 -1100995.0811,-688610.256299999 -1101131.5246,-688469.4822 -1101273.7143,-688334.5097 -1101421.4224,-688207.095199998 -1101572.5102,-682239.9397 -1108938.9834,-675978.495299999 -1110686.058,-675891.806400001 -1110711.0913,-675701.2654 -1110772.1598,-675513.320300002 -1110840.803,-675328.272100002 -1110916.9108,-675146.417100001 -1111000.3613,-674968.046500001 -1111091.021,-674793.445999999 -1111188.7446,-674622.895100001 -1111293.3757,-674456.667100001 -1111404.7466,-674295.028099999 -1111522.6791,-674219.224300001 -1111581.5018,-657330.824999999 -1124948.2146,-637312.064399999 -1132915.0109,-637166.870900001 -1132975.4552,-636985.015900001 -1133058.9057,-636806.645300001 -1133149.5654,-636632.044799998 -1133247.289,-636461.493900001 -1133351.9201,-636295.265900001 -1133463.291,-636133.626899999 -1133581.2235,-635981.6173 -1133701.5846,-623778.018800002 -1143755.4154,-614528.343899999 -1147426.9614,-614379.022799999 -1147489.0463,-614197.167800002 -1147572.4968,-614018.797200002 -1147663.1565,-613844.196699999 -1147760.8801,-613673.645799998 -1147865.5112,-613507.417800002 -1147976.8821,-613345.7788 -1148094.8146,-613188.9877 -1148219.1198,-613037.295499999 -1148349.5986,-612890.9452 -1148486.0421,-612750.171100002 -1148628.2318,-612615.198600002 -1148775.9399,-612486.243999999 -1148928.9299,-612429.063999999 -1149000.9335,-606952.545699999 -1156028.9318,-602259.423 -1158250.4066,-596433.758400001 -1159832.1135,-580753.7269 -1158646.7466,-575579.6578 -1153865.2944,-575446.727200001 -1153746.7696,-575292.454599999 -1153619.3521,-575133.207600001 -1153498.209,-574969.241300002 -1153383.5343,-574800.8182 -1153275.5116,-574628.208000001 -1153174.314,-574451.687100001 -1153080.1035,-574271.538199998 -1152993.031,-574088.049800001 -1152913.2358,-573979.6479 -1152870.1232,-571363.258299999 -1151864.7464,-559590.500700001 -1126589.7852,-559537.803399999 -1126480.1535,-559445.363600001 -1126302.6989,-559345.897999998 -1126129.0848,-559239.565900002 -1125959.5894,-559126.5374 -1125794.4839,-559006.9936 -1125634.0329,-558881.1259 -1125478.4933,-558749.136 -1125328.1141,-558611.235100001 -1125183.1362,-558543.7729 -1125116.2778,-556775.424800001 -1123396.7414,-573152.220400002 -1102800.9811,-565325.062800001 -1096577.1877,-546131.917199999 -1120714.8417,-546116.172899999 -1120735.2942,-546085.534000002 -1120774.0837,-545995.261999998 -1120891.1863,-536061.366099998 -1118697.7566,-535928.087699998 -1118670.225,-535730.886799999 -1118636.3567,-535532.4888 -1118610.4053,-535333.211300001 -1118592.4126,-535133.373500001 -1118582.4073,-534933.295499999 -1118580.4055,-534733.297499999 -1118586.4102,-534533.699900001 -1118600.4121,-534334.8224 -1118622.3885,-534136.9833 -1118652.3043,-533940.499600001 -1118690.1117,-533745.685899999 -1118735.75,-533552.8541 -1118789.1462,-533362.313099999 -1118850.2147,-533174.368000001 -1118918.8579,-532989.319800001 -1118994.9657,-532807.4648 -1119078.4162,-532629.0942 -1119169.0759,-532608.981199998 -1119179.8694,-524320.801100001 -1123652.0671,-513986.566799998 -1121935.3024,-509899.688700002 -1119134.6675,-509856.05431119 -1119105.10277781,-509812.110707306 -1119075.9996446,-509767.8627711 -1119047.36133413,-509723.315419138 -1119019.19102853,-509678.473601254 -1118991.49185789,-509633.342300002 -1118964.2669,-489139.057999998 -1106748.2032,-487122.462000001 -1102833.5298,-487064.868999999 -1102725.0239,-486965.4034 -1102551.4098,-486859.0713 -1102381.9144,-486746.042800002 -1102216.8089,-486626.499000002 -1102056.3579,-486500.631299999 -1101900.8183,-486368.641399998 -1101750.4391,-486230.740499999 -1101605.4612,-486087.149599999 -1101466.1167,-485938.098499998 -1101332.6289,-485783.8259 -1101205.2114,-485624.578899998 -1101084.0683,-485460.612599999 -1100969.3936,-485292.1895 -1100861.3709,-485119.579300001 -1100760.1733,-484943.058400001 -1100665.9628,-484762.909499999 -1100578.8903,-484579.421100002 -1100499.0951,-484392.8871 -1100426.7052,-484203.606199998 -1100361.8363,-484011.8814 -1100304.5925,-483818.0198 -1100255.0653,-483622.331999999 -1100213.3341,-483425.131099999 -1100179.4658,-483278.5535 -1100159.5145,-479240.186799999 -1099670.5667,-471634.678599998 -1090572.1187,-471621.5101 -1090556.4307,-471489.520199999 -1090406.0515,-471351.6193 -1090261.0736,-471208.0284 -1090121.7291,-471058.977299999 -1089988.2413,-470904.704700001 -1089860.8238,-470745.457699999 -1089739.6807,-470581.4914 -1089625.006,-470413.068300001 -1089516.9833,-470240.458099999 -1089415.7857,-470063.937199999 -1089321.5752,-469883.7883 -1089234.5027,-469700.299899999 -1089154.7075,-469663.327599999 -1089139.6736,-460797.676199999 -1085575.8253,-457067.907200001 -1094854.2315,-464767.927299999 -1097949.5149,-472837.484200001 -1107603.103,-472915.895300001 -1107694.6409,-473050.867800001 -1107842.349,-473191.641899999 -1107984.5387,-473337.992199998 -1108120.9822,-473489.6844 -1108251.461,-473646.475499999 -1108375.7662,-473808.114500001 -1108493.6987,-473974.342500001 -1108605.0696,-474144.893399999 -1108709.7007,-474319.493900001 -1108807.4243,-474497.864500001 -1108898.084,-474679.719500002 -1108981.5345,-474864.767700002 -1109057.6423,-475052.7128 -1109126.2855,-475243.253800001 -1109187.354,-475436.0856 -1109240.7502,-475630.899300002 -1109286.3885,-475827.383000001 -1109324.1959,-476025.222100001 -1109354.1117,-476072.730500001 -1109360.0948,-479446.0876 -1109768.5262,-480904.694400001 -1112600.0151,-480915.179699998 -1112620.2562,-481011.1516 -1112795.8256,-481114.0711 -1112967.4148,-481223.773400001 -1113134.7487,-481340.082800001 -1113297.5595,-481462.813099999 -1113455.5865,-481591.767700002 -1113608.5765,-481726.740200002 -1113756.2846,-481867.5143 -1113898.4743,-482013.864599999 -1114034.9178,-482165.5568 -1114165.3966,-482322.347899999 -1114289.7018,-482483.986900002 -1114407.6343,-482650.214899998 -1114519.0052,-482789.529599998 -1114605.1706,-504377.3488 -1127473.0595,-509247.740899999 -1130810.6168,-509374.772599999 -1130894.852,-509545.3235 -1130999.4831,-509719.923999999 -1131097.2067,-509898.294599999 -1131187.8664,-510080.149599999 -1131271.3169,-510265.197799999 -1131347.4247,-510453.142900001 -1131416.0679,-510643.683899999 -1131477.1364,-510836.515700001 -1131530.5326,-511031.329399999 -1131576.1709,-511227.813099999 -1131613.9783,-511254.759100001 -1131618.5304,-524369.932 -1133797.2759,-524540.825100001 -1133822.6396,-524739.702599999 -1133844.616,-524939.3002 -1133858.6179,-525139.2982 -1133864.6226,-525339.376200002 -1133862.6208,-525539.214000002 -1133852.6155,-525738.491500001 -1133834.6228,-525936.8895 -1133808.6714,-526134.090399999 -1133774.8031,-526329.778200001 -1133733.0719,-526523.639800001 -1133683.5447,-526715.364599999 -1133626.3009,-526904.645500001 -1133561.432,-527091.179499999 -1133489.0421,-527274.6679 -1133409.2469,-527454.816799998 -1133322.1744,-527563.661499999 -1133265.1587,-535721.1193 -1128863.4971,-546939.030999999 -1131340.4408,-546974.256700002 -1131348.0857,-547170.740400001 -1131385.8931,-547368.579500001 -1131415.8089,-547567.456999999 -1131437.7853,-547767.0546 -1131451.7872,-547967.0526 -1131457.7919,-548167.130600002 -1131455.7901,-548366.968400002 -1131445.7848,-548566.245900001 -1131427.7921,-548764.6439 -1131401.8407,-548961.844799999 -1131367.9724,-549157.532600001 -1131326.2412,-549351.394200001 -1131276.714,-549543.118999999 -1131219.4702,-549732.399900001 -1131154.6013,-549918.933899999 -1131082.2114,-550102.4223 -1131002.4162,-550202.827799998 -1130953.8866,-550913.586800002 -1131645.0264,-557930.588100001 -1146709.8432,-557885.8039 -1146694.4951,-557694.079100002 -1146637.2513,-557500.217500001 -1146587.7241,-557304.5297 -1146545.9929,-557107.3288 -1146512.1246,-556908.930799998 -1146486.1732,-556709.653299998 -1146468.1805,-556509.815499999 -1146458.1752,-556309.737500001 -1146456.1734,-556109.739500001 -1146462.1781,-555910.141899999 -1146476.18,-555711.264400002 -1146498.1564,-555513.425299998 -1146528.0722,-555494.073600002 -1146531.4349,-542684.610199999 -1148783.2432,-539123.140999999 -1147727.8664,-539298.088199999 -1145973.4874,-529347.441 -1144981.207,-528801.437800001 -1150456.5601,-524775.309799999 -1165745.1899,-534445.6184 -1168291.7817,-537259.754999999 -1157605.5111,-540971.201499999 -1158705.331,-541154.165800001 -1158755.7921,-541348.979499999 -1158801.4304,-541545.463199999 -1158839.2378,-541743.302299999 -1158869.1536,-541942.1798 -1158891.13,-542141.777399998 -1158905.1319,-542341.775400002 -1158911.1366,-542541.853399999 -1158909.1348,-542741.691199999 -1158899.1295,-542940.968699999 -1158881.1368,-543139.366700001 -1158855.1854,-543257.488299999 -1158835.8751,-555860.226 -1156620.4076,-569497.2656 -1161860.5916,-575246.223200001 -1167173.3087,-575303.960499998 -1167225.8353,-575455.6527 -1167356.3141,-575612.443799999 -1167480.6193,-575774.082800001 -1167598.5518,-575940.310800001 -1167709.9227,-576110.861699998 -1167814.5538,-576285.462200001 -1167912.2774,-576463.832800001 -1168002.9371,-576645.687800001 -1168086.3876,-576830.736000001 -1168162.4954,-577018.6811 -1168231.1386,-577209.222100001 -1168292.2071,-577402.0539 -1168345.6033,-577596.867600001 -1168391.2416,-577793.351300001 -1168429.049,-577991.190400001 -1168458.9648,-578190.067899998 -1168480.9412,-578262.7773 -1168486.9717,-591290.4756 -1169471.8295,-589508.4377 -1183488.9408,-572525.910100002 -1211609.5839,-572467.5207 -1211708.8335,-572371.548799999 -1211884.4029,-572282.678300001 -1212063.6716,-572201.051399998 -1212246.3525,-572126.798799999 -1212432.1529,-572060.039500002 -1212620.7754,-572000.8803 -1212811.9178,-571949.416000001 -1213005.2742,-571905.7291 -1213200.5347,-571869.889400002 -1213397.3869,-571841.954500001 -1213595.5153,-571823.837299999 -1213771.9554,-570844.600299999 -1225321.2285,-580808.848099999 -1226166.0747,-581689.465100002 -1215779.9414,-598385.541099999 -1188133.6213,-598393.329100002 -1188120.6812,-598492.7947 -1187947.0671,-598585.234499998 -1187769.6125,-598670.500300001 -1187588.6015,-598735.310199998 -1187436.8853,-598998.7513 -1186790.8858,-599011.896699999 -1186758.3245,-599082.4168 -1186571.0755,-599145.388700001 -1186381.1551,-599200.711399999 -1186188.8672,-599248.296599999 -1185994.5198,-599288.0678 -1185798.4242,-599319.9615 -1185600.8943,-599329.007399999 -1185533.4167,-600136.952199999 -1179178.3032,-602533.676600002 -1187278.299,-612122.713 -1184440.9794,-608966.166999999 -1173773.0822,-608948.106400002 -1173713.4141,-608885.134500001 -1173523.4937,-608814.614399999 -1173336.2447,-608736.6591 -1173151.9672,-608651.393300001 -1172970.9562,-608558.953499999 -1172793.5016,-608459.4879 -1172619.8875,-608353.1558 -1172450.3921,-608240.127300002 -1172285.2866,-608120.583500002 -1172124.8356,-607994.715799998 -1171969.296,-607862.725900002 -1171818.9168,-607724.824999999 -1171673.9389,-607685.209899999 -1171634.371,-604115.398800001 -1168108.5231,-605307.748300001 -1167784.7922,-605331.961199999 -1167778.1529,-605523.686000001 -1167720.9091,-605712.966899998 -1167656.0402,-605899.5009 -1167583.6503,-606082.989300001 -1167503.8551,-606136.830400001 -1167478.76,-612305.160500001 -1164559.0005,-612431.4683 -1164497.0231,-612607.9892 -1164402.8126,-612780.599399999 -1164301.615,-612949.022500001 -1164193.5923,-613112.9888 -1164078.9176,-613272.235800002 -1163957.7745,-613426.508400001 -1163830.357,-613575.559500001 -1163696.8692,-613719.150400002 -1163557.5247,-613857.0513 -1163412.5468,-613989.041200001 -1163262.1676,-614109.933200002 -1163113.0239,-619481.329100002 -1156219.9288,-628196.496399999 -1152760.5491,-628253.6741 -1152737.4439,-628437.162500001 -1152657.6487,-628617.3114 -1152570.5762,-628793.8323 -1152476.3657,-628966.442499999 -1152375.1681,-629134.865600001 -1152267.1454,-629298.831900001 -1152152.4707,-629458.078899998 -1152031.3276,-629531.0711 -1151972.3348,-641736.425900001 -1141917.0571,-661708.637699999 -1133968.7856,-661761.687800001 -1133947.321,-661945.176199999 -1133867.5258,-662125.325100001 -1133780.4533,-662301.846000001 -1133686.2428,-662474.4562 -1133585.0452,-662642.879299998 -1133477.0225,-662806.845600002 -1133362.3478,-662962.879000001 -1133243.7503,-679635.8411 -1120047.5503,-686464.527899999 -1118142.2032,-686646.792800002 -1118087.5889,-686836.0737 -1118022.72,-687022.607700001 -1117950.3301,-687206.096099999 -1117870.5349,-687386.245000001 -1117783.4624,-687562.765900001 -1117689.2519,-687735.3761 -1117588.0543,-687903.799199998 -1117480.0316,-688067.765500002 -1117365.3569,-688227.012499999 -1117244.2138,-688381.285100002 -1117116.7963,-688530.336199999 -1116983.3085,-688673.927099999 -1116843.964,-688811.828000002 -1116698.9861,-688943.817899998 -1116548.6069,-689005.989799999 -1116473.369,-695135.721700002 -1108906.1947,-700270.731199998 -1106930.9343,-700377.489399999 -1106888.4536,-700560.9778 -1106808.6584,-700741.126699999 -1106721.5859,-700917.647599999 -1106627.3754,-701090.257800002 -1106526.1778,-701258.6809 -1106418.1551,-701422.6472 -1106303.4804,-701581.894200001 -1106182.3373,-701736.1668 -1106054.9198,-701885.217900001 -1105921.432,-702028.808800001 -1105782.0875,-702166.7097 -1105637.1096,-702298.6996 -1105486.7304,-702424.567299999 -1105331.1908,-702544.111099999 -1105170.7398,-702601.438499998 -1105088.7712,-702769.626600001 -1104843.0942,-702825.3277 -1104759.9573,-702931.6598 -1104590.4619,-703031.125399999 -1104416.8478,-703123.565200001 -1104239.3932,-703208.831 -1104058.3822,-703258.102600001 -1103944.3288,-703300.725299999 -1103842.1992,-703329.409000002 -1103771.9751,-703363.6105 -1103683.9924,-708608.064100001 -1089806.2084,-711261.739799999 -1088891.4145,-711347.533799998 -1088860.9623,-711534.0678 -1088788.5724,-711717.556200001 -1088708.7772,-711897.7051 -1088621.7047,-712074.226 -1088527.4942,-712246.836199999 -1088426.2966,-712415.259300001 -1088318.2739,-712579.2256 -1088203.5992,-712738.472600002 -1088082.4561,-712892.745200001 -1087955.0386,-713041.796300001 -1087821.5508,-713185.387200002 -1087682.2063,-713323.2881 -1087537.2284,-713455.278000001 -1087386.8492,-713524.842700001 -1087302.4628,-733798.2018 -1062154.2087,-737531.5042 -1062800.9462,-737538.629299998 -1062802.1752,-737736.468400002 -1062832.091,-737935.345899999 -1062854.0674,-738134.943500001 -1062868.0693,-738334.941500001 -1062874.074,-738535.019499999 -1062872.0722,-738734.857299998 -1062862.0669,-738934.134799998 -1062844.0742,-739132.5328 -1062818.1228,-739329.7337 -1062784.2545,-739525.421500001 -1062742.5233,-739719.283100002 -1062692.9961,-739911.0079 -1062635.7523,-740100.288800001 -1062570.8834,-740286.822799999 -1062498.4935,-740470.3112 -1062418.6983,-740533.2009 -1062389.309,-747657.4663 -1058999.5753,-747774.725499999 -1058941.8921,-747951.246399999 -1058847.6816,-748123.856600001 -1058746.484,-748292.2797 -1058638.4613,-748456.245999999 -1058523.7866,-748615.493000001 -1058402.6435,-748769.7656 -1058275.226,-748918.8167 -1058141.7382,-749062.407600001 -1058002.3937,-749116.687100001 -1057946.709,-754818.1655 -1052005.8865,-792851.7859 -1072451.0907,-792897.404836185 -1072475.31040217,-792943.271490184 -1072499.05764122,-792989.380968991 -1072522.32988383,-793035.728353693 -1072545.12464733,-793082.308699999 -1072567.4395,-795637.709600002 -1073775.4377,-795780.593800001 -1073840.2594,-795965.642000001 -1073916.3672,-796153.587099999 -1073985.0104,-796344.1281 -1074046.0789,-796536.959899999 -1074099.4751,-796728.330800001 -1074144.378,-813836.221900001 -1077805.2961,-817208.567699999 -1080989.3391,-817305.4164 -1081078.3992,-817457.108600002 -1081208.878,-817613.899700001 -1081333.1832,-817775.538699999 -1081451.1157,-817941.7667 -1081562.4866,-818112.317600001 -1081667.1177,-818286.918099999 -1081764.8413,-818465.288699999 -1081855.501,-818647.1437 -1081938.9515,-818832.1919 -1082015.0593,-819020.136999998 -1082083.7025,-819210.677999999 -1082144.771,-819403.509799998 -1082198.1672,-819598.3235 -1082243.8055,-819794.8072 -1082281.6129,-819992.646299999 -1082311.5287,-820191.523800001 -1082333.5051,-820391.121399999 -1082347.507,-820591.119399998 -1082353.5117,-820791.1974 -1082351.5099,-820991.0352 -1082341.5046,-821190.3127 -1082323.5119,-821388.710700002 -1082297.5605,-821585.911600001 -1082263.6922,-821781.599399999 -1082221.961,-821975.460999999 -1082172.4338,-822167.185800001 -1082115.19,-822352.6329 -1082051.7196,-843228.123399999 -1074446.6761,-850939.341899998 -1075213.4647,-850984.472100001 -1075217.7458,-851184.069699999 -1075231.7477,-851384.067699999 -1075237.7524,-851584.1457 -1075235.7506,-851783.9835 -1075225.7453,-851983.261 -1075207.7526,-852181.659000002 -1075181.8012,-852378.859900001 -1075147.9329,-852574.547699999 -1075106.2017,-852768.409299999 -1075056.6745,-852960.134100001 -1074999.4307,-853149.414999999 -1074934.5618,-853335.949000001 -1074862.1719,-853519.437399998 -1074782.3767,-853699.586300001 -1074695.3042,-853876.1072 -1074601.0937,-854048.717399999 -1074499.8961,-854161.834899999 -1074428.3989,-863213.771699999 -1068536.0313,-884326.686799999 -1077138.7151,-888100.0792 -1067877.9641,-864564.8607 -1058288.2868,-864393.487300001 -1058222.1032,-864204.2064 -1058157.2343,-864012.481600001 -1058099.9905,-863818.620000001 -1058050.4633,-863622.9322 -1058008.7321,-863425.7313 -1057974.8638,-863227.333299998 -1057948.9124,-863028.055799998 -1057930.9197,-862828.217999998 -1057920.9144,-862628.140000001 -1057918.9126,-862428.142000001 -1057924.9173,-862228.544399999 -1057938.9192,-862029.666900001 -1057960.8956,-861831.827799998 -1057990.8114,-861635.344099998 -1058028.6188,-861440.530400001 -1058074.2571,-861247.698600002 -1058127.6533,-861057.157600001 -1058188.7218,-860869.212499999 -1058257.365,-860684.164299998 -1058333.4728,-860502.309300002 -1058416.9233,-860323.938700002 -1058507.583,-860149.338199999 -1058605.3066,-859978.787300002 -1058709.9377,-859950.421799999 -1058728.2661,-850179.5909 -1065088.5985,-843082.858800001 -1064382.9132,-842937.9998 -1064370.6326,-842738.162 -1064360.6273,-842538.083999999 -1064358.6255,-842338.085999999 -1064364.6302,-842138.488400001 -1064378.6321,-841939.6109 -1064400.6085,-841741.7718 -1064430.5243,-841545.2881 -1064468.3317,-841350.474399999 -1064513.97,-841157.6426 -1064567.3662,-840967.101599999 -1064628.4347,-840876.6195 -1064660.4176,-821829.576900002 -1071599.3486,-819683.692000002 -1069573.2842,-819660.701099999 -1069551.7137,-819511.649999999 -1069418.2259,-819357.3774 -1069290.8084,-819198.130399998 -1069169.6653,-819034.164099999 -1069054.9906,-818865.741 -1068946.9679,-818693.130800001 -1068845.7703,-818516.609900001 -1068751.5598,-818336.460999999 -1068664.4873,-818152.972600002 -1068584.6921,-817966.4386 -1068512.3022,-817777.157699998 -1068447.4333,-817585.4329 -1068390.1895,-817391.5713 -1068340.6623,-817297.379000001 -1068319.5532,-799387.548500001 -1064487.0281,-797472.842 -1063581.9012,-761309.511999998 -1044142.083,-781317.0535 -1034025.6991,-776804.779100001 -1025101.6093,-764402.4947 -1031372.5582,-766204.066500001 -1029092.0587,-758357.2097 -1022893.1201))"
"POLYGON ((-850820.896600001 -1015099.8855,-873774.670499999 -1025934.9687,-873915.0255 -1025998.5956,-874100.0737 -1026074.7034,-874288.018800002 -1026143.3466,-874478.559799999 -1026204.4151,-874671.391600002 -1026257.8113,-874866.2053 -1026303.4496,-875062.688999999 -1026341.257,-875260.528099999 -1026371.1728,-875459.4056 -1026393.1492,-875659.003199998 -1026407.1511,-875859.001200002 -1026413.1558,-876059.0792 -1026411.154,-876258.916999999 -1026401.1487,-876458.194499999 -1026383.156,-876545.1976 -1026372.7695,-888490.769200001 -1024840.4283,-887218.4254 -1014921.7015,-876722.084800001 -1016268.1398,-855089.607000001 -1006056.7603,-850820.896600001 -1015099.8855))"
"POLYGON ((-787854.8048 -1000699.0292,-792841.505600002 -1009366.948,-811736.595899999 -998496.5,-806749.895100001 -989828.5812,-787854.8048 -1000699.0292))"
"POLYGON ((-706916.182500001 -1028843.3004,-715787.680300001 -1036788.0561,-713094.171599999 -1036507.1492,-712925.4241 -1036492.4352,-712725.586300001 -1036482.4299,-712525.508299999 -1036480.4281,-712325.510299999 -1036486.4328,-712125.912700001 -1036500.4347,-711927.0352 -1036522.4111,-711729.1961 -1036552.3269,-711532.712400001 -1036590.1343,-711337.898699999 -1036635.7726,-711145.0669 -1036689.1688,-710954.525899999 -1036750.2373,-710766.580800001 -1036818.8805,-710684.4408 -1036851.5958,-702798.968899999 -1040073.3499,-649213.5286 -1043564.6001,-649863.6798 -1053543.4429,-704261.504500002 -1049999.2634,-704286.3202 -1049997.5846,-704485.5977 -1049979.5919,-704683.995700002 -1049953.6405,-704881.196600001 -1049919.7722,-705076.884399999 -1049878.041,-705270.745999999 -1049828.5138,-705462.470800001 -1049771.27,-705651.751699999 -1049706.4011,-705827.5209 -1049638.424,-713304.982700001 -1046583.37,-730105.149099998 -1048335.465,-730174.167800002 -1048342.1795,-730373.7654 -1048356.1814,-730573.7634 -1048362.1861,-730773.841400001 -1048360.1843,-730973.679200001 -1048350.179,-731172.956700001 -1048332.1863,-731371.354699999 -1048306.2349,-731568.555599999 -1048272.3666,-731764.2434 -1048230.6354,-731958.105 -1048181.1082,-732149.829799999 -1048123.8644,-732339.1107 -1048058.9955,-732525.644699998 -1047986.6056,-732709.133099999 -1047906.8104,-732889.282000002 -1047819.7379,-733065.802900001 -1047725.5274,-733238.4131 -1047624.3298,-733406.836199999 -1047516.3071,-733570.802499998 -1047401.6324,-733730.0495 -1047280.4893,-733884.322099999 -1047153.0718,-734033.373199999 -1047019.584,-734176.9641 -1046880.2395,-734314.864999998 -1046735.2616,-734446.854899999 -1046584.8824,-734572.722600002 -1046429.3428,-734692.266399998 -1046268.8918,-734805.2949 -1046103.7863,-734911.627 -1045934.2909,-735011.092599999 -1045760.6768,-735103.532400001 -1045583.2222,-735188.7982 -1045402.2112,-735266.7535 -1045217.9337,-735337.273600001 -1045030.6847,-735400.245499998 -1044840.7643,-735455.5682 -1044648.4764,-735503.1534 -1044454.129,-735542.924600001 -1044258.0334,-735574.818300001 -1044060.5035,-735598.783399999 -1043861.8558,-735614.781500001 -1043662.4083,-735622.786899999 -1043462.4804,-735622.786899999 -1043262.3924,-735614.781500001 -1043062.4645,-735598.783399999 -1042863.017,-735574.818300001 -1042664.3693,-735542.924600001 -1042466.8394,-735503.1534 -1042270.7438,-735455.5682 -1042076.3964,-735400.245499998 -1041884.1085,-735337.273600001 -1041694.1881,-735266.7535 -1041506.9391,-735188.7982 -1041322.6616,-735103.532400001 -1041141.6506,-735011.092599999 -1040964.196,-734911.627 -1040790.5819,-734805.2949 -1040621.0865,-734692.266399998 -1040455.981,-734572.722600002 -1040295.53,-734446.854899999 -1040139.9904,-734314.864999998 -1039989.6112,-734176.9641 -1039844.6333,-734033.373199999 -1039705.2888,-733959.417399999 -1039637.7115,-714281.609200001 -1022015.5036,-705221.277399998 -1004265.7124,-705155.211199999 -1004140.6829,-705055.7456 -1003967.0688,-704949.4135 -1003797.5734,-704836.385000002 -1003632.4679,-704716.841200002 -1003472.0169,-704590.973499998 -1003316.4773,-704458.983600002 -1003166.0981,-704321.082699999 -1003021.1202,-704177.491799999 -1002881.7757,-704127.741500001 -1002836.0178,-689340.5779 -989418.870299999,-682620.907900002 -996824.681299999,-696730.497699998 -1009627.0315,-705798.4901 -1027391.8303,-705817.448600002 -1027428.595,-705913.420499999 -1027604.1644,-706016.34 -1027775.7536,-706126.042300001 -1027943.0875,-706242.3517 -1028105.8983,-706365.081999999 -1028263.9253,-706494.036600001 -1028416.9153,-706629.009100001 -1028564.6234,-706769.783199999 -1028706.8131,-706916.182500001 -1028843.3004))"
