id,x,y,z
189,1084099.277,748978.830,298.566
190,1084101.869,748978.402,298.589
191,1084103.002,748979.479,297.748
192,1084097.776,748980.426,297.760
193,1084091.907,748980.042,297.849
194,1084092.267,748981.454,297.791
195,1084092.096,748984.346,297.773
196,1084090.007,748983.751,297.739
197,1084087.577,748983.201,297.682
198,1084087.006,748981.747,297.690
199,1084087.175,748980.789,297.721
200,1084088.645,748982.377,298.402
201,1084090.303,748982.219,298.408
202,1084092.460,748994.384,297.487
203,1084094.291,748992.730,297.716
204,1084097.171,748991.620,297.801
205,1084100.850,748992.965,297.519
206,1084101.663,748992.269,297.703
207,1084095.090,748994.190,296.868
208,1084097.999,748994.914,296.620
209,1084100.045,748994.057,296.552
210,1084105.613,748993.430,296.494
211,1084107.974,748993.902,296.449
212,1084109.623,748995.147,295.829
213,1084109.876,748994.664,297.249
214,1084113.409,748994.824,295.865
215,1084115.123,748996.683,294.912
216,1084113.666,748997.114,295.098
217,1084109.610,748996.410,295.586
218,1084111.566,748997.300,295.055
219,1084093.057,748994.570,296.646
220,1084084.341,748997.926,296.495
221,1084077.392,749000.696,296.220
222,1084077.078,749002.472,295.922
223,1084082.702,749001.026,296.031
224,1084084.952,748999.696,296.313
225,1084091.601,748998.078,296.311
226,1084095.389,748997.750,296.329
227,1084101.627,748996.522,296.258
228,1084105.931,748996.080,296.083
229,1084108.382,748996.263,295.821
230,1084109.271,748997.648,294.973
231,1084107.143,748998.777,295.029
232,1084102.246,748999.454,295.137
233,1084097.469,748999.850,295.045
234,1084091.478,749001.505,295.111
235,1084085.639,749002.863,294.970
236,1084077.837,749005.462,294.850
237,1084082.013,749003.865,294.761
238,1084087.355,749002.961,294.720
239,1084093.338,749002.320,294.797
240,1084100.438,749001.010,294.810
241,1084103.107,749001.957,294.768
242,1084106.661,749001.525,294.804
243,1084109.753,748999.438,294.799
244,1084109.594,748998.533,294.756
245,1084111.747,748997.860,294.801
246,1084113.641,748997.716,294.809
247,1084113.374,748998.491,294.788
248,1084115.449,748997.921,295.159
249,1084117.083,749000.847,295.115
250,1084115.083,749001.590,294.715
251,1084114.921,749003.446,294.688
252,1084116.700,749003.929,295.089
253,1084115.312,749005.721,294.988
254,1084114.601,749005.133,294.590
255,1084114.598,749006.044,295.079
256,1084112.968,749005.197,294.533
257,1084111.206,749004.905,294.359
258,1084110.505,749005.733,294.536
259,1084111.389,749005.812,294.720
260,1084110.767,749006.397,294.784
261,1084110.133,749006.476,294.819
262,1084114.105,749007.452,295.011
263,1084116.609,749007.153,295.067
264,1084116.364,749006.807,294.819
265,1084118.387,748998.865,295.279
266,1084112.135,749001.018,294.767
267,1084111.557,749003.108,294.547
268,1084108.663,749002.428,294.526
269,1084108.975,749003.597,294.288
270,1084104.336,749003.070,294.423
271,1084104.577,749004.110,294.319
272,1084109.139,749000.122,294.790
273,1084108.387,748997.904,295.018
274,1084107.736,748996.185,295.888
275,1084107.053,748993.556,296.513
276,1084106.830,748992.678,296.766
277,1084109.569,749001.427,294.717
278,1084109.507,749002.432,294.628
279,1084110.049,749003.601,294.430
280,1084098.899,749001.168,294.736
281,1084098.479,748999.630,295.089
282,1084098.417,748997.291,296.344
283,1084097.190,748994.767,296.718
284,1084096.273,748991.875,297.708
285,1084095.421,748989.069,297.789
286,1084104.858,748986.919,297.881
287,1084089.096,749003.088,294.769
288,1084089.103,749002.332,294.864
289,1084088.608,748998.718,296.347
290,1084088.365,748996.299,296.547
291,1084080.240,749004.424,294.814
292,1084079.417,749001.963,295.991
293,1084079.101,749000.017,296.168
294,1084088.345,748995.855,297.713
295,1084087.568,748991.832,297.727
296,1084077.798,748995.317,297.683
297,1084079.185,748999.613,297.454
298,1084080.605,749005.197,294.359
299,1084089.185,749003.549,294.708
300,1084099.255,749002.599,294.231
301,1084110.945,749007.827,296.042
302,1084110.957,749009.487,296.123
303,1084110.608,749008.001,296.026
304,1084109.635,749009.066,295.564
305,1084109.760,749007.011,294.808
306,1084110.373,749004.481,294.358
307,1084110.674,749005.642,294.622
308,1084110.604,749006.621,294.762
309,1084107.731,749008.640,295.350
310,1084105.376,749007.494,295.482
311,1084103.015,749008.907,295.351
312,1084102.741,749010.294,295.551
313,1084103.676,749010.182,295.633
315,1084105.431,749010.124,295.620
316,1084104.805,749006.427,294.733
317,1084102.838,749006.828,294.736
318,1084101.487,749008.772,294.782
319,1084099.610,749009.399,294.785
320,1084100.492,749006.368,294.292
321,1084100.684,749009.231,294.795
322,1084101.000,749010.773,295.422
323,1084097.242,749008.218,294.770
324,1084097.419,749009.797,295.220
325,1084092.043,749009.453,294.752
326,1084091.874,749011.475,295.350
327,1084092.099,749012.946,295.754
328,1084089.910,749011.322,295.416
329,1084089.932,749013.124,295.804
330,1084083.540,749012.041,295.394
331,1084080.496,749011.917,295.113
332,1084080.422,749011.371,294.804
333,1084083.136,749011.092,294.787
334,1084081.684,749011.286,294.829
335,1084081.440,749010.495,294.332
336,1084081.745,749011.877,295.208
337,1084080.077,749016.077,296.122
338,1084078.358,749023.274,296.956
339,1084085.761,749016.269,296.427
340,1084084.788,749016.035,296.300
341,1084084.682,749018.849,296.656
342,1084104.129,749017.614,296.845
343,1084105.123,749016.373,296.553
344,1084106.968,749013.992,296.102
345,1084110.560,749013.535,296.021
346,1084112.828,749016.089,296.767
347,1084089.280,749005.404,294.625
348,1084089.531,749006.676,294.591
349,1084089.933,749007.396,294.482
350,1084091.444,749006.045,294.485
351,1084084.849,749005.435,294.438
352,1084081.660,749008.014,294.445
353,1084080.151,749008.018,294.407
354,1084083.497,749008.964,294.391
355,1084086.865,749004.984,294.564
356,1084119.577,748997.014,295.444
357,1084118.035,748997.394,295.384
358,1084115.802,748997.609,295.146
359,1084115.322,748997.378,295.080
360,1084115.601,748997.303,295.510
361,1084117.546,748996.874,295.850
362,1084118.705,748996.589,295.968
363,1084119.297,748996.476,295.922
364,1084119.115,748996.776,295.896
365,1084117.905,748997.232,295.699
366,1084116.725,748997.285,295.488
367,1084119.335,748996.396,300.399
368,1084128.928,749006.641,296.405
369,1084130.483,749008.251,296.433
370,1084132.157,749008.422,296.474
371,1084133.923,749007.740,296.405
372,1084134.755,749008.690,296.445
373,1084132.186,749009.453,296.431
374,1084131.424,749010.632,296.626
375,1084130.785,749012.219,296.284
376,1084131.377,749013.534,296.138
377,1084128.458,749010.344,296.290
378,1084129.337,749011.647,296.318
379,1084130.544,749011.402,296.396
380,1084127.907,749011.194,296.049
381,1084129.259,749013.180,296.149
382,1084129.994,749015.172,296.017
383,1084131.293,749017.159,296.092
384,1084127.611,749013.517,296.349
385,1084127.676,749016.682,296.394
386,1084127.942,749018.902,296.343
387,1084130.858,749021.248,296.694
388,1084130.397,749021.562,296.714
389,1084132.493,749017.634,296.155
390,1084133.961,749017.382,296.182
391,1084134.596,749015.785,296.167
392,1084135.215,749011.178,297.083
393,1084135.204,749010.361,297.026
394,1084135.742,749011.999,297.208
395,1084138.486,749011.844,297.265
396,1084143.465,749013.474,297.186
397,1084147.065,749014.114,297.156
398,1084147.667,749015.137,297.253
399,1084145.368,749012.001,297.456
400,1084134.965,749010.839,297.110
401,1084134.436,749012.239,297.111
402,1084136.290,749009.809,297.048
403,1084136.472,749008.646,296.999
404,1084137.999,749008.680,297.266
405,1084140.129,749008.841,297.449
406,1084136.148,749008.207,297.081
407,1084135.680,749006.528,297.835
408,1084133.692,749005.419,297.503
409,1084131.546,749005.841,297.527
410,1084130.209,749004.983,297.519
411,1084133.620,749004.208,297.665
412,1084139.442,749005.542,297.812
413,1084139.163,749006.475,297.756
414,1084139.280,749007.467,297.766
415,1084147.181,749006.845,297.472
416,1084143.771,749007.909,297.577
417,1084138.076,749015.744,296.241
418,1084138.662,749017.097,296.239
419,1084138.336,749018.258,296.416
420,1084141.816,749015.473,296.635
421,1084142.478,749015.503,296.845
422,1084143.340,749015.427,296.961
423,1084143.822,749015.391,296.893
424,1084141.604,749015.925,296.362
425,1084141.663,749017.316,296.295
426,1084144.117,749018.094,296.346
427,1084145.694,749016.872,296.929
428,1084146.553,749018.472,297.045
429,1084145.241,749019.231,296.473
430,1084125.230,749017.670,296.551
431,1084124.311,749014.927,296.576
432,1084122.107,749019.798,296.542
433,1084119.370,749019.642,296.590
434,1084117.796,749021.653,296.931
435,1084117.930,749024.165,297.024
436,1084118.753,749027.306,296.925
437,1084121.801,749026.779,297.175
438,1084124.847,749026.321,297.176
439,1084124.087,749026.154,296.882
440,1084124.902,749024.561,296.416
441,1084123.732,749024.635,296.333
442,1084121.966,749021.861,296.125
443,1084119.639,749021.537,296.176
444,1084124.284,749020.514,296.258
445,1084124.948,749021.601,296.239
446,1084124.725,749020.508,296.264
447,1084125.897,749021.212,296.277
448,1084128.515,749020.609,296.370
449,1084131.760,749020.151,296.545
450,1084128.215,749017.965,296.299
451,1084119.905,749011.253,296.111
452,1084120.410,749010.171,296.309
453,1084118.114,749010.986,296.122
454,1084118.114,749009.631,296.484
455,1084118.155,749009.466,296.493
456,1084118.532,749008.934,296.567
457,1084113.952,749009.866,296.039
458,1084114.392,749008.966,296.442
459,1084116.442,749013.259,296.108
460,1084116.378,749014.104,296.532
461,1084117.193,749015.729,296.438
462,1084116.150,749017.249,296.865
463,1084113.387,749018.918,296.962
464,1084109.543,749021.621,296.868
465,1084111.986,749027.482,296.997
